"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 15 08:05:25 MSK 2023","Thu Jun 15 08:05:56 MSK 2023","31422","firefox","","QUA-95","","","QUA-95 POM",""
"passed","Thu Jun 15 08:04:53 MSK 2023","Thu Jun 15 08:05:05 MSK 2023","11851","firefox","","Home","","","Verify home link is enabled using text and css selector",""
"passed","Thu Jun 15 08:05:32 MSK 2023","Thu Jun 15 08:05:42 MSK 2023","9527","firefox","","Upload file","","","should ipload a test file",""
"passed","Thu Jun 15 08:04:28 MSK 2023","Thu Jun 15 08:04:33 MSK 2023","4773","firefox","","Account Page","","","Veify login and register is visible",""
"passed","Thu Jun 15 08:05:06 MSK 2023","Thu Jun 15 08:05:10 MSK 2023","4344","firefox","","Home","","","Verify text of all nav links",""
"passed","Thu Jun 15 08:04:39 MSK 2023","Thu Jun 15 08:04:43 MSK 2023","3400","firefox","","Home","","","Open HomePage and verify title",""
"passed","Thu Jun 15 08:04:29 MSK 2023","Thu Jun 15 08:04:34 MSK 2023","4607","firefox","","blog page","","","blog page",""
"passed","Thu Jun 15 08:05:08 MSK 2023","Thu Jun 15 08:05:15 MSK 2023","6204","firefox","","bloc 4. Homework","","","Part 1",""
"passed","Thu Jun 15 08:04:50 MSK 2023","Thu Jun 15 08:04:53 MSK 2023","3215","firefox","","Home","","","Verify heading text is visible using text selector",""
"passed","Thu Jun 15 08:05:15 MSK 2023","Thu Jun 15 08:05:20 MSK 2023","4954","firefox","","QUA-100","","","Find product reviews",""
"passed","Wed Jun 21 09:57:12 MSK 2023","Wed Jun 21 09:57:17 MSK 2023","4924","firefox","","bloc 4. Homework","","","Part 2",""
"passed","Thu Jun 15 08:04:20 MSK 2023","Thu Jun 15 08:04:28 MSK 2023","7931","firefox","","My Account","","","Access Orders",""
"passed","Thu Jun 15 08:04:47 MSK 2023","Thu Jun 15 08:04:50 MSK 2023","3248","firefox","","Home","","","Click get started button using CSS Selector",""
"passed","Thu Jun 15 08:04:33 MSK 2023","Thu Jun 15 08:04:39 MSK 2023","6549","firefox","","sending form","","","sending form",""
"passed","Tue Jun 20 17:09:47 MSK 2023","Tue Jun 20 17:09:57 MSK 2023","10426","firefox","","QUA-101","","","Adding product to basket",""
"passed","Thu Jun 15 08:05:27 MSK 2023","Thu Jun 15 08:05:32 MSK 2023","5406","firefox","","Home","","","Adding product to the basket",""
"passed","Thu Jun 15 08:05:05 MSK 2023","Thu Jun 15 08:05:08 MSK 2023","3353","firefox","","Home","","","Verify search icon is visible using xpath selector",""
"passed","Wed Jun 21 10:04:48 MSK 2023","Wed Jun 21 10:04:53 MSK 2023","4800","firefox","","onsale","","","copy",""
"broken","Wed Jun 21 14:31:58 MSK 2023","Wed Jun 21 14:32:30 MSK 2023","31672","firefox","","onsale","","","onsale",""
"passed","Thu Jun 15 08:05:20 MSK 2023","Thu Jun 15 08:05:25 MSK 2023","5194","firefox","","QUA-94","","","QUA-94 POM",""
"passed","Thu Jun 15 08:04:34 MSK 2023","Thu Jun 15 08:04:34 MSK 2023","715","firefox","","","","","has title",""
"passed","Thu Jun 15 08:04:20 MSK 2023","Thu Jun 15 08:04:29 MSK 2023","9052","firefox","","My Account","","","Access Downloads",""
"passed","Thu Jun 15 08:04:43 MSK 2023","Thu Jun 15 08:04:47 MSK 2023","3960","firefox","","Home","","","Open AboutPage and verify title",""
"passed","Thu Jun 15 08:05:42 MSK 2023","Thu Jun 15 08:05:50 MSK 2023","8609","firefox","","Upload file","","","should ipload a test file on a hidden input field",""
"broken","Thu Jun 15 08:04:34 MSK 2023","Thu Jun 15 08:05:06 MSK 2023","31322","firefox","","","","","get started link",""
